"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"104278",1,"C-3",6797.6,3825.1,38.3151,22.6129,0.9416,1,8.014,6.422,55.5882766658413
"104279",2,"C-3",6527.6,4298.9,66.8488,30.3148,0.9141,1,11.6469,7.5756,111.821792437532
"104280",3,"C-3",6826.5,3986.1,55.5558,26.6885,0.9801,1,8.8061,8.2505,51.9833209680107
"104281",4,"C-3",6380.6,4050.9,40.9178,23.135,0.9607,1,7.8408,6.7898,66.4335026764906
"104282",5,"C-3",6147.3,4311.5,56.8782,27.1954,0.9664,1,9.3522,7.8897,29.4219984604942
"104283",6,"C-3",6378.8,4209.8,45.0255,24.1655,0.9689,1,8.0004,7.5119,26.1483826903263
"104284",7,"C-3",6846.5,4099.1,42.0542,23.6121,0.9479,1,8.3879,6.5041,79.8502926714591
"104285",8,"C-3",6945.9,4566.9,34.4332,21.3051,0.9533,1,7.2278,6.2626,83.1624592161192
"104286",9,"C-3",6487.9,4059.3,45.8858,24.4996,0.9607,1,8.3217,7.3483,62.3722036161087
"104287",10,"C-3",6848.9,4190.2,53.373,26.4198,0.9609,1,9.0756,7.2798,99.8086469857164
"104288",11,"C-3",6432,3506.1,47.872,25.0242,0.9607,1,8.711,7.0708,79.78217039329
"104289",12,"C-3",6858.4,4019.9,32.6857,20.8383,0.9459,1,7.4094,5.7701,84.4941187520979
"104290",13,"C-3",6670.3,4566.1,63.8963,28.7295,0.9728,1,9.6126,8.5978,113.0320718607
"104291",14,"C-3",6704.9,4367.9,57.883,27.4227,0.9673,1,9.5098,7.6934,3.74020780152756
"104292",15,"C-3",6517.2,4294.7,110.0079,37.9629,0.9592,1,13.6215,10.7863,46.1742051123193
"104293",16,"C-3",6118.5,3859.7,39.2474,22.823,0.9468,1,8.089,6.3911,77.1312245959177
"104294",17,"C-3",6865.3,4632,40.0859,23.0815,0.9455,1,8.0079,6.532,88.7184150506228
"104295",18,"C-3",6642.2,4550.6,39.5511,23.0792,0.9331,1,8.1585,6.4099,200.00507762938
"104296",19,"C-3",6883.5,3809.2,28.4057,19.3354,0.9548,1,6.7762,5.5807,63.1224757400653
"104297",20,"C-3",6628.3,3868.5,32.4445,20.7018,0.9513,1,7.2079,5.9403,142.06774692276
"104298",21,"C-3",6494.4,4662.2,69.0465,29.9533,0.9671,1,10.5053,8.6492,64.375455521671
"104299",22,"C-3",6732.9,3864.4,35.7645,21.7941,0.9462,1,7.6397,6.0999,83.622566789158
"104300",23,"C-3",6770.5,3826.9,33.458,20.906,0.962,1,7.0365,6.2676,59.413918896956
"104301",24,"C-3",6915.4,4037.6,47.1723,24.9959,0.9488,1,8.954,6.9106,102.334526428883
"104302",25,"C-3",6808.7,4451.9,41.092,23.2345,0.9565,1,7.8887,6.8184,39.7651725838083
"104303",26,"C-3",6377.2,4470.8,39.7221,23.1377,0.9324,1,8.4634,6.0796,89.9818486403815
"104304",27,"C-3",6669.2,3764.2,41.3033,23.265,0.9589,1,8.0574,6.5065,5.32049764419515
"104305",28,"C-3",6811.7,3853.4,39.4645,22.8425,0.9504,1,8.1664,6.2067,30.9376751825309
"104306",29,"C-3",6554.6,3818.4,34.406,21.2168,0.9605,1,7.1402,6.3904,115.783767069593
"104307",30,"C-3",6764.3,3882.5,35.2934,21.7303,0.9392,1,7.6721,5.9189,87.4055524669713
"104308",31,"C-3",7183,4342,47.8703,25.164,0.95,1,9.1399,6.9101,110.714821183389
"104309",32,"C-3",6826.6,3946.5,27.2166,19.323,0.916,1,7.2385,4.9691,81.5407190512887
"104310",33,"C-3",6781,3857.8,36.643,22.2524,0.9299,1,8.1278,5.8229,44.1946444698369
"104311",34,"C-3",6717.3,3977.1,76.658,31.4822,0.9719,1,10.7915,8.9189,91.4879620988037
"104312",35,"C-3",6545.8,4624.9,43.1931,23.9471,0.9465,1,8.4527,6.6666,61.4999726538959
"104313",36,"C-3",6508,4090,24.6464,18.0766,0.9478,1,6.2019,5.0057,92.640122072916
"104314",37,"C-3",6252.6,4456.1,36.3268,21.8254,0.9583,1,7.6337,6.1727,75.0230422459602
"104315",38,"C-3",6951.7,4574.4,37.8843,22.5239,0.9384,1,8.0876,6.1683,82.1376745664148
"104316",39,"C-3",6448.8,3581.3,37.7538,22.3232,0.952,1,8,6.0431,127.495136607287
"104317",40,"C-3",6985.4,4150.8,144.1929,42.9544,0.9821,1,14.2846,13.0352,102.676493450375
"104318",41,"C-3",6642.3,4614.9,36.8206,22.1206,0.9456,1,7.9549,6.0113,81.3690323891259
"104319",42,"C-3",6762,3921.8,32.2102,20.5837,0.9553,1,7.1099,5.9697,21.7495311577059
"104320",43,"C-3",6648.2,4464.9,55.1845,27.3075,0.93,1,9.9373,7.2009,75.9075119034125
"104321",44,"C-3",6434.9,4539.4,52.6517,26.1378,0.9685,1,8.9849,7.4131,82.9672789396889
"104322",45,"C-3",6838.3,3925.7,35.002,21.664,0.9372,1,7.8187,5.9563,35.2302728105847
"104323",46,"C-3",7274.9,3919.1,32.4989,20.6592,0.9569,1,7.0514,5.9873,103.437958093531
"104324",47,"C-3",6885.7,4078.3,34.5859,21.6227,0.9296,1,8.0319,5.5705,65.5491580761901
"104325",48,"C-3",6349.2,3550.5,43.112,24.1841,0.9263,1,8.8418,6.4804,82.4774546864515
"104326",49,"C-3",7159.2,4458,61.6034,28.5617,0.949,1,10.2781,7.6235,91.1038276671678
"104327",50,"C-3",7074.8,4273.4,45.9718,24.4125,0.9693,1,8.1319,7.2903,106.870386254222
"104328",51,"C-3",6163.3,3841.5,45.9722,24.7051,0.9465,1,8.8224,6.7601,90.6874284638703
"104329",52,"C-3",6701.2,4340,37.4217,22.523,0.927,1,7.9832,6.1754,101.177478566544
"104330",53,"C-3",6825.4,4634.4,50.1236,25.5363,0.9659,1,8.788,7.3536,35.2938883369679
"104331",54,"C-3",6562.2,4136.2,32.8233,20.7856,0.9547,1,7.0478,6.1935,100.734321259555
"104332",55,"C-3",6617.5,4702.9,39.4437,22.963,0.94,1,8.3449,6.2461,106.724823936127
"104333",56,"C-3",6580.5,4437.7,50.7273,25.6603,0.9681,1,8.8026,7.501,53.6931090842847
"104334",57,"C-3",6634.5,4336.8,38.5525,22.6338,0.9457,1,8.1894,6.1602,48.7990720709434
"104335",58,"C-3",7078.5,3999.5,65.2287,30.2397,0.8964,1,11.7059,7.2495,40.8845415159922
"104336",59,"C-3",6880.9,3499.2,46.8569,24.7747,0.9593,1,8.286,7.5584,86.723998154752
"104337",60,"C-3",6662.2,4418.6,59.3063,29.2416,0.8716,1,11.516,6.8296,60.5366702309555
"104338",61,"C-3",6397.2,4110.5,58.1396,27.5762,0.9608,1,9.5779,7.9565,116.126844598378
"104339",62,"C-3",6706.3,4299,55.0506,26.7359,0.9678,1,9.0483,7.7908,99.9669772613545
"104340",63,"C-3",6883.7,4355.7,40.0829,22.9323,0.9578,1,7.6592,6.51,90.0370627136341
"104341",64,"C-3",6685.7,4436.9,35.6831,21.6331,0.9582,1,7.3771,6.3454,28.6387368988838
"104342",65,"C-3",6668.5,4479.9,59.2451,27.8038,0.9631,1,9.7531,7.9276,42.82623488848
"104343",66,"C-3",6960.5,4399.2,47.6555,25.0418,0.955,1,8.9684,6.9293,69.5174349201998
"104344",67,"C-3",6562.7,4147.5,30.0791,20.1547,0.9305,1,7.3189,5.5615,123.435819388924
"104345",68,"C-3",6885.2,3991.8,32.3892,20.7873,0.9419,1,7.3309,5.6585,43.6114398456424
"104346",69,"C-3",7107.8,4183.5,41.5191,23.2451,0.9656,1,7.9244,6.8737,55.4525789355526
"104347",70,"C-3",6157,3973.6,26.6721,18.8486,0.9434,1,6.4856,5.3629,138.77765615553
"104348",71,"C-3",6686.3,4711.5,32.0194,20.5783,0.9502,1,6.9593,5.9195,169.618833563201
"104349",72,"C-3",6819.2,3933.7,28.8471,19.6003,0.9436,1,6.8854,5.5039,54.8491098320908
"104350",73,"C-3",6722.4,4075.3,34.8894,21.3962,0.9577,1,7.3389,6.1685,44.8341145476175
"104351",74,"C-3",6776.7,3837.5,39.6399,23.0196,0.94,1,8.3304,6.1801,44.9520880701887
"104352",75,"C-3",6914.3,3850.3,38.2896,22.4625,0.9536,1,7.7036,6.4623,153.269157993007
"104353",76,"C-3",7343.3,4189.6,51.6353,25.9968,0.9601,1,9.0675,7.3439,105.72866343315
"104354",77,"C-3",6666.4,4236.4,46.382,24.6133,0.9621,1,8.3556,7.2661,45.2317209221216
"104355",78,"C-3",7030.7,4148.4,45.8042,24.9969,0.9212,1,9.2636,6.342,108.548258525405
"104356",79,"C-3",6688.1,4077.9,37.2988,22.48,0.9275,1,8.2359,5.8678,125.852615530998
"104357",80,"C-3",6585.2,4012.8,54.6234,26.5109,0.9767,1,8.6949,8.1408,107.06247600664
"104358",81,"C-3",6809.8,4540,75.4225,31.1462,0.977,1,10.6441,9.2238,102.399128690319
"104359",82,"C-3",6898.1,3788.3,35.5073,21.5403,0.9617,1,7.3994,6.1087,53.9860679900312
"104360",83,"C-3",6601.5,4054.1,54.3842,27.1443,0.9275,1,9.823,7.5083,80.9413913158266
"104361",84,"C-3",6944.3,4267.4,63.2709,29.7007,0.9013,1,11.3772,7.2097,58.7703896536116
"104362",85,"C-3",6407.7,4189.2,49.2698,26.3253,0.8934,1,10.0923,6.1837,102.432935897697
"104363",86,"C-3",6509.2,4231.6,48.8817,25.6842,0.9312,1,9.5479,6.539,88.4042914849456
"104364",87,"C-3",7041.6,4159,47.6301,24.9464,0.9618,1,8.5762,7.1977,78.3470492261545
"104365",88,"C-3",6794,4637.7,47.3604,25.2382,0.9343,1,9.1448,6.6929,86.7542305497459
"104366",89,"C-3",6755.3,4292.7,44.917,24.3727,0.9502,1,8.7025,6.652,26.8675586705308
"104367",90,"C-3",6761,3851.2,47.1201,24.7756,0.9646,1,8.4631,7.1483,344.542131607434
"104368",91,"C-3",6388.3,4031.4,38.5561,22.8224,0.9302,1,8.4032,6.066,44.5968790828127
"104369",92,"C-3",6454.3,3534,34.7931,21.5649,0.9402,1,7.7317,6.0583,35.1775168606619
"104370",93,"C-3",6707.4,4020.7,50.4189,25.7402,0.9563,1,9.1392,7.047,58.6277654180683
"104371",94,"C-3",6558,4347.5,37.5915,22.4449,0.9377,1,8.0651,6.0964,58.4939597995882
"104372",95,"C-3",6890.1,4619,57.4905,27.2321,0.9742,1,9.2291,8.0156,42.3359053970139
"104373",96,"C-3",6706.7,3842.5,33.9879,21.3566,0.9364,1,7.7244,5.714,158.5893298932
"104374",97,"C-3",6942.7,4141.3,52.0408,26.4302,0.9362,1,9.6069,6.8794,119.412945255261
"104375",98,"C-3",6447.6,4467.7,53.3839,26.2597,0.9728,1,8.7737,8.0282,319.196365628351
"104376",99,"C-3",6578.1,3474.3,31.507,20.4286,0.9487,1,7.1237,5.8251,146.302126306269
"104377",100,"C-3",6823.2,4012.7,37.8216,22.3193,0.9541,1,7.6574,6.4694,77.9741767047751
"104378",101,"C-3",7003.3,4041.6,47.4435,25.3687,0.9264,1,9.4845,6.5987,109.069315371879
"104379",102,"C-3",6596.5,4422.2,42.0444,23.7003,0.9406,1,8.7095,6.1989,62.5113691081991
"104380",103,"C-3",6764.3,4569.6,68.1743,29.9699,0.9538,1,10.3429,9.0565,51.5407340316622
"104381",104,"C-3",6260.5,4366,45.1961,24.7336,0.9284,1,9.0712,6.6728,104.477669695808
"104382",105,"C-3",6619.3,4665.2,36.7089,22.4874,0.9122,1,8.2111,5.76,44.1019565686837
"104383",106,"C-3",6593.4,4586.5,44.6356,24.2661,0.9526,1,8.3348,7.0455,89.6852148419158
"104384",107,"C-3",6295.8,4102.7,55.7483,27.2947,0.9403,1,9.8823,7.1699,20.8339012700255
"104385",108,"C-3",6878.6,3891.4,32.1236,20.605,0.9508,1,6.8713,6.1811,151.861586559523
"104386",109,"C-3",6558.4,4416.1,34.5538,21.529,0.9368,1,7.8673,5.7319,20.7076294505728
"104387",110,"C-3",6602.7,4152.8,54.78,26.6081,0.9723,1,9.104,7.7465,75.4533482262867
"104388",111,"C-3",6595.7,3915.8,31.0964,20.2913,0.9491,1,7.2135,5.6197,157.569196525883
"104389",112,"C-3",7225.1,4219.1,33.1123,20.9699,0.9463,1,7.3031,6.2213,224.809231423241
"104390",113,"C-3",6810.8,3925.9,34.3729,21.6593,0.9207,1,7.9571,5.5857,49.3850666817511
"104391",114,"C-3",6709.1,4008.9,47.4544,25.1053,0.9461,1,8.9509,7.2447,55.5348154677053
"104392",115,"C-3",7158.4,3984.6,27.9207,19.2446,0.9474,1,6.7295,5.5015,40.9736315078707
"104393",116,"C-3",6515,3866.9,32.4341,20.7805,0.9438,1,7.2695,5.8292,85.9767183101861
"104394",117,"C-3",6907.1,4575.5,29.3148,19.7056,0.9487,1,6.9597,5.6257,67.2347931059078
"104395",118,"C-3",6751.6,3946.5,37.6021,22.4663,0.9362,1,8.0777,6.2637,39.153086920435
"104396",119,"C-3",6636.5,3592.8,42.9525,23.6612,0.9641,1,7.9109,7.2066,51.7679441910262
"104397",120,"C-3",6663.1,4435.5,34.2362,21.5936,0.9227,1,7.9536,5.5099,92.3321123339092
"104398",121,"C-3",6549.8,3994,30.4176,20.5545,0.9047,1,7.5359,5.0731,95.8310040309493
"104399",122,"C-3",6748.4,3955.9,27.7337,19.3054,0.9351,1,6.7547,5.5459,48.5458290727606
"104400",123,"C-3",6897.5,3868.6,29.9093,20.0155,0.9382,1,7.0707,5.4855,78.8786749893134
"104401",124,"C-3",7081.8,4416.2,40.0691,22.877,0.9621,1,7.6478,6.8378,88.9429165277304
"104402",125,"C-3",6661,4024.2,49.7102,25.848,0.935,1,9.4641,6.7414,34.6225558576225
"104403",126,"C-3",6469.4,4334.7,44.5961,24.2146,0.9558,1,8.669,6.8824,155.812798222771
"104404",127,"C-3",6838.1,3946.5,27.9213,19.196,0.9522,1,6.3821,5.7882,66.0726019835962
"104405",128,"C-3",7069.3,4440,33.812,21.0662,0.9574,1,7.2786,6.1116,25.3924460890197
"104406",129,"C-3",6764.2,4556.9,56.3763,27.0012,0.9717,1,9.1983,7.8882,35.7442181784364
"104407",130,"C-3",6857.9,3992.7,28.9366,19.5943,0.9471,1,6.7496,5.6968,234.4647053357
"104408",131,"C-3",6372,4508.8,46.612,25.3146,0.914,1,9.3502,6.3852,89.8463083075476
"104409",132,"C-3",6898.2,4468.9,42.6477,23.5665,0.965,1,8.0123,6.8491,57.2260005371574
"104410",133,"C-3",6940.6,3832,32.7046,20.7056,0.9586,1,7.0423,6.0836,21.9210112250819
"104411",134,"C-3",6765.9,3667.9,37.4198,22.2646,0.9486,1,7.9902,6.0103,52.7813688779194
"104412",135,"C-3",6981.1,4623.4,45.056,24.6796,0.9296,1,9.19,6.4272,28.5406178111941
"104413",136,"C-3",6287.3,4454.1,48.8426,25.4481,0.9478,1,8.9757,7.2115,76.8294700567803
"104414",137,"C-3",6510.9,4114.2,36.5579,21.9118,0.9568,1,7.3034,6.6184,93.3906756187895
"104415",138,"C-3",7087.8,4580.9,65.9605,29.3963,0.9592,1,10.3938,7.9397,168.375405007907
"104416",139,"C-3",6664.8,4179.6,95.5971,35.72,0.9415,1,13.1382,9.4446,51.8504648087972
"104417",140,"C-3",6379.5,3954.9,42.0996,23.5515,0.9538,1,8.1038,6.8246,64.2599064507415
"104418",141,"C-3",6385.1,4507.3,60.5668,28.7367,0.9217,1,10.6228,7.6721,43.3109950849673
"104419",142,"C-3",6947.1,4154.8,91.4453,34.2306,0.9807,1,11.571,10.1499,77.9789268440084
"104420",143,"C-3",6093.7,4208.8,58.0139,27.3066,0.9777,1,9.0017,8.3891,114.207005127024
"104421",144,"C-3",6627,4262.4,44.3322,24.7848,0.9069,1,9.3372,6.2113,32.1009163644447
"104422",145,"C-3",7229.5,4210.8,51.1135,26.2548,0.9318,1,9.7066,6.7048,59.2398192179199
"104423",146,"C-3",7299.1,4319.3,40.2697,24.3163,0.8558,1,9.5679,5.4027,99.7565082854231
"104424",147,"C-3",6711.5,3859.5,40.1483,23.3923,0.922,1,8.3156,6.6145,86.3933178022177
"104425",148,"C-3",6742.4,4358.3,93.0683,36.3394,0.8856,1,14.2905,8.4935,138.658197273848
"104426",149,"C-3",6895.6,4022.7,90.9448,35.487,0.9075,1,13.5554,8.6699,119.058474004747
"104427",150,"C-3",6898.9,3517.1,44.833,24.266,0.9568,1,8.4232,6.9688,241.476875648005
"104428",151,"C-3",6352.9,4367.1,68.9039,30.018,0.9609,1,10.3507,8.614,62.3791203102945
"104429",152,"C-3",6681.6,3828.4,23.1993,17.6757,0.9331,1,6.3347,4.6299,43.0492022855192
"104430",153,"C-3",6697.6,3984.3,69.816,30.4325,0.9473,1,10.9924,8.5117,60.188533419509
"104431",154,"C-3",6447.3,4261.1,48.1363,25.7828,0.91,1,9.7766,6.5368,163.405812751232
"104432",155,"C-3",6541.3,4635.9,36.3451,22.407,0.9097,1,8.3724,5.6102,39.8172951642571
"104433",156,"C-3",6710.6,3961.8,44.1931,24.6117,0.9168,1,8.8006,6.5731,28.7603854001075
"104434",157,"C-3",6814.2,3828.4,21.1532,16.7458,0.9479,1,5.7543,4.9886,96.5443794728108
"104435",158,"C-3",6931.2,3683.5,34.7845,21.575,0.9391,1,7.4822,6.0551,97.7008166208616
"104436",159,"C-3",6916.2,4137.3,60.4286,28.723,0.9204,1,10.8479,7.5282,51.2946504412913
"104437",160,"C-3",6284.4,4517.1,32.854,21.1235,0.9253,1,7.5412,5.803,106.909903153244
"104438",161,"C-3",6829.3,4368.3,68.9581,30.1753,0.9517,1,10.6288,8.3959,37.3496277529169
"104439",162,"C-3",6921.7,4390.6,43.1827,24.0603,0.9374,1,8.6683,6.528,54.4378584332703
"104440",163,"C-3",6944.7,3996.9,56.1214,27.0658,0.9627,1,9.1904,8.0544,83.4590461485043
"104441",164,"C-3",6749.1,4120.6,37.1688,22.4848,0.9239,1,8.2713,5.961,141.205864134608
"104442",165,"C-3",6743.8,4651.5,41.0321,23.3377,0.9467,1,8.4484,6.2028,107.374376314015
"104443",166,"C-3",7257.4,4423.6,49.1162,25.5686,0.9441,1,9.3027,6.7849,88.800216829335
"104444",167,"C-3",6543.8,4058.7,34.8285,21.4384,0.9523,1,7.3713,6.3693,48.764319658014
"104445",168,"C-3",6645.9,4429.1,51.7154,26.1737,0.9486,1,8.9663,7.87,58.210567489145
"104446",169,"C-3",7151.3,4041.2,41.3312,23.2835,0.9581,1,8.1356,6.4744,82.3853711243781
"104447",170,"C-3",6169.7,4343.1,41.2111,23.7049,0.9216,1,8.9508,6.1539,72.411327315911
"104448",171,"C-3",7066.6,4223,71.9363,31.9821,0.8838,1,12.4078,7.6372,56.1157058101864
"104449",172,"C-3",6318,4426.9,38.1591,22.3531,0.9597,1,7.6067,6.6334,73.7978473200845
"104450",173,"C-3",7098.7,4179.7,36.4288,21.923,0.9525,1,7.6271,6.3193,35.7948269822405
"104451",174,"C-3",6959.4,4596.7,42.1716,23.4501,0.9637,1,7.9417,6.7863,76.3230765572507
"104452",175,"C-3",6738.7,4214.1,67.7384,29.5697,0.9735,1,10.1616,8.6374,96.1766973618844
"104453",176,"C-3",7201.9,4250,28.7239,19.7925,0.9214,1,7.035,5.2602,97.7067166999281
"104454",177,"C-3",6380.9,4178.3,47.7314,24.9665,0.9623,1,8.4742,7.3491,11.7852173416621
"104455",178,"C-3",6740.4,3905.1,45.3978,24.5797,0.9443,1,8.761,6.5999,76.8865306413038
"104456",179,"C-3",6071.5,4108.9,38.0701,22.5351,0.9421,1,8.1095,6.0456,127.622225018779
"104457",180,"C-3",6356.6,4391.3,65.6332,29.6678,0.937,1,11.022,7.7725,61.6830436325956
"104458",181,"C-3",6295.8,4311.9,51.1811,26.0816,0.9455,1,9.3135,7.1657,98.7626419049902
"104459",182,"C-3",6876.9,3946.3,54.8713,27.115,0.9379,1,9.9357,6.9845,60.563637096121
"104460",183,"C-3",6296.4,4226.4,37.1024,21.9869,0.9645,1,7.2792,6.6863,27.4773061049931
"104461",184,"C-3",6399.9,4638.4,48.633,25.2212,0.9607,1,8.653,7.1389,29.851780915844
"104462",185,"C-3",7004.3,3862.4,39.6658,22.6752,0.9694,1,7.63,6.667,173.664260171467
"104463",186,"C-3",7061.6,3979,39.1892,23.0026,0.9307,1,8.4723,5.8614,129.251533030717
"104464",187,"C-3",6981.5,4415.1,61.6353,28.4066,0.9598,1,9.7184,8.5955,72.9478038017326
"104465",188,"C-3",6126.4,4245,39.9277,22.9225,0.9549,1,7.6385,6.8807,105.442046196077
"104466",189,"C-3",6435.8,4163,36.2528,21.9438,0.9461,1,7.7079,5.9356,104.708769435929
"104467",190,"C-3",6949.6,4036.7,63.1011,28.7928,0.9565,1,10.0078,8.0512,91.3256460293878
"104468",191,"C-3",6440.9,4303.6,40.008,22.893,0.9593,1,7.856,6.8283,123.423711035061
"104469",192,"C-3",6956,3826.5,42.0521,23.6018,0.9487,1,8.5063,6.3886,93.4638737522452
"104470",193,"C-3",6698.6,4045.8,48.6598,25.5401,0.9374,1,9.1625,6.8224,38.2396690503001
"104471",194,"C-3",6907.9,4494.2,35.2467,22.0509,0.9109,1,8.2362,5.4222,84.8070121603563
"104472",195,"C-3",6758.1,4336.7,36.246,21.8711,0.9522,1,7.5893,6.1052,165.181788077627
"104473",196,"C-3",6859.9,3880.8,41.3493,23.7688,0.9197,1,8.7989,5.7789,95.4693567365249
"104474",197,"C-3",6164,4219.2,57.5934,27.6008,0.95,1,9.8357,7.7523,225.464007830837
"104475",198,"C-3",7314.1,4195.4,36.4882,21.8882,0.9571,1,7.4294,6.5128,93.9324101624323
"104476",199,"C-3",6424.5,3556,33.4167,20.9944,0.9527,1,7.0245,6.3198,114.938214833893
"104477",200,"C-3",7201,4208.4,48.724,25.2552,0.96,1,8.4856,7.7576,86.5208994808605
"104478",201,"C-3",6177.6,3814.5,51.0847,25.7415,0.9688,1,8.6742,7.8007,133.101521151854
"104479",202,"C-3",6553.9,4481.4,80.7006,33.4587,0.9059,1,12.8075,8.2501,100.628570117238
"104480",203,"C-3",6424.3,3903.6,34.3447,21.5652,0.928,1,7.9448,5.7177,5.79951119770154
"104481",204,"C-3",6803.9,3967.7,26.9629,18.8675,0.9518,1,6.6056,5.3747,323.722817479446
"104482",205,"C-3",6869.5,4622.7,41.9085,23.3944,0.9623,1,7.9355,6.8272,88.1158517794977
"104483",206,"C-3",7234.4,4325,37.7287,22.7981,0.9122,1,8.4373,5.7794,108.43045825014
"104484",207,"C-3",6591.2,3476.8,28.9201,19.6579,0.9405,1,6.9025,5.4583,126.943061959292
"104485",208,"C-3",6996.1,3941.9,33.9228,21.2648,0.9427,1,7.5195,5.9064,37.2774476077286
"104486",209,"C-3",6944.4,3859,44.0341,23.9173,0.9673,1,8.0384,7.0046,30.9438915883341
"104487",210,"C-3",6613.7,4672.4,30.6083,20.1913,0.9435,1,7.0145,5.7832,88.2810274841933
"104488",211,"C-3",6970.2,4641.5,28.7019,19.5397,0.9447,1,6.883,5.6529,235.355256550503
"104489",212,"C-3",6411.3,4238.2,47.9584,25.352,0.9377,1,9.1004,6.8888,79.8712174238337
"104490",213,"C-3",6426,3827.5,34.8871,21.4821,0.95,1,7.6817,6.029,158.816156768951
"104491",214,"C-3",6590.1,4674.4,44.749,24.7779,0.9159,1,9.2813,6.3454,52.0795324405808
"104492",215,"C-3",6573.4,3752,98.7346,37.399,0.8871,1,14.5317,8.727,58.2457590741365
"104493",216,"C-3",6971.2,4513,40.9613,23.061,0.9679,1,7.666,6.9279,122.518782442331
"104494",217,"C-3",7084.6,4150.5,35.908,21.7446,0.9543,1,7.5338,6.3011,62.7719244076058
"104495",218,"C-3",6923,4574.5,33.752,21.1218,0.9507,1,7.3462,6.014,43.0332066021316
"104496",219,"C-3",7128,4038.2,29.2506,19.8406,0.9338,1,7.0596,5.6752,67.7172655083144
"104497",220,"C-3",7197.1,3969.2,27.6114,19.1202,0.9491,1,6.503,5.6068,328.622556510147
"104498",221,"C-3",6905.6,4237.3,40.282,23.6275,0.9067,1,9.0396,5.9298,87.5587775003724
"104499",222,"C-3",6562.5,3818.1,29.8487,19.8168,0.9551,1,6.6784,5.8862,253.771936371143
"104500",223,"C-3",6501.5,4148.5,24.6957,18.281,0.9286,1,6.4402,5.1924,3.46856596949944
"104501",224,"C-3",6535,4282.3,43.4072,24.0855,0.9403,1,8.4493,6.6892,66.6988107757846
"104502",225,"C-3",6531.5,3848.2,31.6395,20.4431,0.9514,1,6.9385,6.2013,141.59020992686
"104503",226,"C-3",6505.9,4415.9,50.548,25.5998,0.9693,1,8.6917,7.6021,76.4190848573684
"104504",227,"C-3",6274.7,4190.9,52.0136,26.2391,0.9494,1,9.3379,7.2095,34.0220110263697
"104505",228,"C-3",6418.5,4302.3,36.2087,21.8424,0.9537,1,7.58,6.2886,140.06253514909
"104506",229,"C-3",6770.1,3643.6,39.279,22.6481,0.9623,1,7.4951,6.7303,76.4527275355595
"104507",230,"C-3",7306.8,4198.2,32.3572,20.8625,0.9342,1,7.4139,5.6082,86.978422533384
"104508",231,"C-3",7029.5,4192.4,63.8818,28.8332,0.9656,1,9.919,8.3589,188.198350448985
"104509",232,"C-3",7251.9,4088.1,31.891,20.5071,0.953,1,6.9155,6.0547,171.865011954173
"104510",233,"C-3",6729,3776.8,31.2456,20.5141,0.933,1,7.4546,5.4715,354.052741417779
"104511",234,"C-3",6390.4,4389.4,81.6632,32.6689,0.9615,1,11.5132,9.123,346.765253972639
"104512",235,"C-3",6537.4,3782.8,41.8959,23.4631,0.9563,1,8.1987,6.5023,39.4472152412695
"104513",236,"C-3",6908.6,4256.2,31.5606,20.6664,0.9286,1,7.5351,5.4452,94.2538887265872
"104514",237,"C-3",6566.3,4644.3,68.7217,29.6554,0.982,1,9.8547,9.0413,153.649975840138
"104515",238,"C-3",6761.3,3798.6,29.61,19.9477,0.9351,1,7.0226,5.4621,52.6314814170181
"104516",239,"C-3",6656.8,3504.7,38.4411,22.6342,0.9429,1,8.2018,6.0766,155.640526296571
"104517",240,"C-3",7153.6,3896.8,41.057,23.2165,0.9572,1,8.2519,6.5489,26.5346093227624
"104518",241,"C-3",6334.6,4151.7,29.7452,19.8956,0.9443,1,6.9062,5.5895,85.1701203277288
"104519",242,"C-3",6680.8,3535.2,32.133,20.5368,0.9574,1,6.9519,6.2184,91.3959771554543
"104520",243,"C-3",6330.6,4366.3,166.2442,46.5991,0.9621,1,16.6521,13.2524,57.5648036884151
"104521",244,"C-3",6607.7,3760.3,39.4332,23.2699,0.9151,1,8.7181,5.9948,39.9006926402381
"104522",245,"C-3",6318,4510.8,37.5384,22.2541,0.9525,1,7.7634,6.2501,19.7660089549285
"104523",246,"C-3",6540.7,4509.1,109.5496,38.0444,0.9511,1,13.7631,10.2041,69.5477914996494
"104524",247,"C-3",6535.1,4425.5,60.4654,27.916,0.975,1,9.4569,8.0824,97.6925537885455
"104525",248,"C-3",6749.7,4373.2,34.7438,21.4373,0.9501,1,7.351,6.454,113.226383984851
"104526",249,"C-3",7059.8,4190.5,27.7728,19.344,0.9327,1,6.6309,5.4151,130.492953988015
"104527",250,"C-3",6916.8,4049.8,41.9221,23.8995,0.9223,1,9.0033,5.929,103.168120755538
"104528",251,"C-3",6742.7,4512.7,41.8691,23.6004,0.9446,1,8.4606,6.3739,83.0533939762646
"104529",252,"C-3",6115.1,4091.4,56.2777,27.1144,0.9619,1,9.4079,7.7432,29.9885224217775
"104530",253,"C-3",6675.5,4585.9,48.415,25.0781,0.9674,1,8.5493,7.3051,178.10016687396
"104531",254,"C-3",6485.4,3557.3,33.3591,20.9586,0.9543,1,7.3084,6.0563,333.571455152344
