Image,TMA core,Area µm^2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-13,1195540.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-10,649143.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-9,649819.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-8,1373387.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-6,731448.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-4,1351272.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-3,406166.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-2,1419590.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,L-1,1113071.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-13,422093.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-8,453610.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-7,565738
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-6,1359243.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-5,1340142.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-4,304779
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-3,1108173
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-2,675231
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,K-1,512550.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-13,975676.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-12,522607.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-11,738800.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-10,888447.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-9,717258.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-8,893729.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-7,1131698.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-4,761865.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-3,914360.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,J-1,1170057.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-13,1250599.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-12,878327.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-11,854278.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-10,1226457.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-9,1301929.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-8,1075171.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-7,1370486.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-6,1212759.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-5,1266256.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-4,1429360.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-3,1369763
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-2,1415606.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,I-1,1342147.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-12,1207954.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-11,1283719.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-10,836761.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-9,655840.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-8,258120.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-7,1102711.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-6,284010.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-5,1214845.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-4,1360041.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-3,1402150
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,H-2,1422881.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-13,1256307.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-12,982107.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-11,868406.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-10,1274150.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-9,1269371.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-8,1315664.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-7,1472744.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-6,1354242.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-5,1373328
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-4,491114
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-3,1217401.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-2,1230806.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,G-1,1236056.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-13,711254.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-10,896851.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-9,879908.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-8,739259.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-7,1028596
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-6,1183046.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-5,1196702.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-4,959931.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-3,743287.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-2,715725.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,F-1,693770.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-13,1130097.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-12,313983.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-11,711548.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-10,1330305.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-9,1130668.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-8,1220464.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-7,1439130
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-6,1191398.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-5,1194273.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-4,1242667.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-3,1117047.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-2,1206455.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,E-1,1286599.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-13,1155654.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-12,1296941.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-11,1146060.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-10,1060354.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-9,448347.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-8,1073209.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-7,878497
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-6,976486
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-5,1271050
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-4,1140493.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-3,978640.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-2,755220
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,D-1,858009.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-13,650895.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-12,948018.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-11,963108.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-10,1030266.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-9,818942.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-8,1180779.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-7,1381920.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-6,1283830.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-5,1311518.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-4,1134837.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-3,727678.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-2,1102203.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,C-1,685640.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-13,777548.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-12,1083730.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-11,624510.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-10,916883.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-9,1165301.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-7,884372.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-6,1289282.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-5,1031672.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-4,821429.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-3,1230030.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-2,1321539.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,B-1,380576
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-12,1103995.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-11,1278367.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-8,252406.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-7,1278178.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-6,1288489.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-5,1380303.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-4,1275461.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-3,579332.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-2,1345228.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi,A-1,710874.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-13,1196893.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-10,654301.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-9,635637.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-8,1365798.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,757089.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-4,1353367.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-3,457153.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-2,1410736.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-1,1121090.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-13,412781.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-8,464617.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-7,598855.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-6,1372374.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-5,1352400
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-4,417071.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-3,1161866.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-2,736301
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-1,600790.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,961979.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,575141.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,1074973.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,858070.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,680139.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-8,885796.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-7,1139469.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-4,722487.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-3,931179.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-1,1194725.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-13,1242128.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-12,875734.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-11,877807.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-10,1264726.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-9,1343525.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-8,1109957.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-7,1381394.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-6,1218686.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-5,1269631.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-4,1446274.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-3,1390085.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-2,1396112.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,I-1,1352392.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-12,1209036
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-11,1298423.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-10,808494.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-9,680691.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-7,1120587.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-6,364701.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-5,1248842.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-4,1372755.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-3,1418993.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,H-2,1442902.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-13,1267397.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-12,998876
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-11,866881.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-10,1269639.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-9,1282043
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-8,1309612.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-7,1476906.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-6,1374662.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-5,1390716.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-4,560264.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-3,1175876.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-2,1279756.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,G-1,1262536.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-13,687787.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-10,902194.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-9,851729.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-8,732253.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-7,1053953.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-6,1206183.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-5,1216793.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-4,990119.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-3,755090
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-2,572254.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,F-1,671729.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-13,1130492.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-12,745208.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-11,669469.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-10,1340447.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-9,1009260.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-8,1239425.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-7,1441430.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-6,1205176
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-5,1213904.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-4,1237658.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-3,1157915
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-2,1254680.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,E-1,1306317.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-13,1139958.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-12,1271875.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-11,1174191
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-10,1057276
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-9,448920.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-8,1111646.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-7,904267.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-6,992572
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-5,1295369.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-4,1137925.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-3,1042049.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-2,757171.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,D-1,882453.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-13,672229.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-12,755896.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-11,1020404.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-10,1047973.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-9,886541.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-8,1184188.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-7,1392166.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-6,1216308.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-5,1334070.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-4,1104154
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-3,776183.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-2,1097508.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,C-1,680778.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-12,1106133.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-11,475759.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-10,879325.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-9,1170328.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-7,813019.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-6,1267215.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-5,1024816.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-4,859634.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-3,1232269.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-2,1321875.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,B-1,451401
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-12,1179182.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-11,1298334.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-7,1279899.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-6,1291176.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-5,1364197.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-4,1205816.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-3,484772.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-2,1380764.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,A-1,733650
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-13,1107276.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-12,1185019.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-11,875308.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-10,674027.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-9,730070.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-8,1221745.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-7,628740.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-6,798916.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-4,1345668.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-3,1030147.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-2,1366928.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,L-1,1023747
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-13,354668.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-12,399361.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-11,609605.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-10,332167.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-9,465377.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-8,279067.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-7,1046636.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-6,1360508.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-5,1328845.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-4,1221854
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-3,1212762.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-2,1172127.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,K-1,326637.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,J-13,1060932.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,J-12,1230578.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,J-11,1184336.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi,J-10,922916.5
